claim_id,policy_id,claim_date,claim_type,claim_amount,claim_status,settlement_amount,days_to_settle,claimant_age,incident_severity
CLM-2024-001,POL-A-1001,2024-01-15,Auto Collision,12500.00,Settled,11800.00,45,34,Moderate
CLM-2024-002,POL-H-2034,2024-01-18,Home Water Damage,8900.00,Settled,8500.00,32,52,Minor
CLM-2024-003,POL-A-1045,2024-01-22,Auto Theft,28000.00,Settled,27500.00,67,41,Severe
CLM-2024-004,POL-H-2156,2024-02-03,Home Fire,45000.00,In Progress,0.00,0,38,Severe
CLM-2024-005,POL-A-1089,2024-02-10,Auto Collision,5600.00,Settled,5200.00,28,29,Minor
CLM-2024-006,POL-H-2201,2024-02-14,Home Burglary,15000.00,Settled,14200.00,51,45,Moderate
CLM-2024-007,POL-A-1123,2024-02-20,Auto Vandalism,3200.00,Settled,3000.00,19,56,Minor
CLM-2024-008,POL-H-2289,2024-03-01,Home Storm Damage,22000.00,Settled,21000.00,58,61,Moderate
CLM-2024-009,POL-A-1167,2024-03-08,Auto Collision,9800.00,Settled,9300.00,35,33,Moderate
CLM-2024-010,POL-H-2334,2024-03-15,Home Water Damage,6700.00,Settled,6400.00,26,48,Minor
CLM-2024-011,POL-A-1201,2024-03-22,Auto Theft,31000.00,In Progress,0.00,0,37,Severe
CLM-2024-012,POL-H-2378,2024-04-02,Home Fire,52000.00,Settled,49500.00,89,55,Severe
CLM-2024-013,POL-A-1245,2024-04-10,Auto Collision,7400.00,Settled,7100.00,31,42,Minor
CLM-2024-014,POL-H-2423,2024-04-18,Home Burglary,11000.00,Settled,10500.00,44,39,Moderate
CLM-2024-015,POL-A-1289,2024-04-25,Auto Vandalism,2800.00,Settled,2600.00,17,50,Minor
CLM-2024-016,POL-H-2467,2024-05-05,Home Storm Damage,18500.00,Settled,17800.00,53,44,Moderate
CLM-2024-017,POL-A-1334,2024-05-12,Auto Collision,14200.00,Settled,13500.00,42,31,Moderate
CLM-2024-018,POL-H-2512,2024-05-20,Home Water Damage,9200.00,Settled,8800.00,29,57,Minor
CLM-2024-019,POL-A-1378,2024-05-28,Auto Theft,26500.00,In Progress,0.00,0,36,Severe
CLM-2024-020,POL-H-2556,2024-06-03,Home Fire,38000.00,Settled,36500.00,72,49,Severe
CLM-2024-021,POL-A-1423,2024-06-10,Auto Collision,10300.00,Settled,9800.00,38,43,Moderate
CLM-2024-022,POL-H-2601,2024-06-18,Home Water Damage,7500.00,Settled,7200.00,27,51,Minor
CLM-2024-023,POL-A-1467,2024-06-25,Auto Vandalism,4100.00,Settled,3900.00,21,35,Minor
CLM-2024-024,POL-H-2645,2024-07-02,Home Burglary,13500.00,Settled,12900.00,47,46,Moderate
CLM-2024-025,POL-A-1512,2024-07-10,Auto Collision,16800.00,Settled,16000.00,49,39,Moderate
